stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8610,1644,Stadion,,44.389354,26.131877,,,,
6931,1645,Lunca Barzesti,,44.39166,26.126475,,,,
6926,1648,Soseaua Garii Catelu,,44.441227,26.193025,,,,
6990,1656,Soseaua Garii Catelu,,44.44123,26.191388,,,,
6993,1659,Aeroport Baneasa,,44.496371,26.079808,,,,
3118,166,Roma,,44.452753,26.094487,,,,
6983,1660,Drumul Matasii,,44.506932,26.082231,,,,
6967,1661,Institutul Meteorologic,,44.512786,26.080994,,,,
6968,1663,Padurea Baneasa,,44.516912,26.086695,,,,
6969,1664,Restaurant Baneasa,,44.516319,26.092378,,,,
6970,1665,Gradina Zoologica,,44.515393,26.103992,,,,
6972,1667,Jolie Ville Baneasa,,44.515038,26.114926,,,,
6973,1668,Gradina Zoologica,,44.515389,26.103334,,,,
6975,1669,Restaurant Baneasa,,44.516403,26.091977,,,,
3125,167,Calea Dorobantilor,,44.452987,26.098187,,,,
6965,1670,Padurea Baneasa,,44.51698,26.086353,,,,
7025,1672,Institutul Meteorologic,,44.51319,26.080347,,,,
7026,1673,Drumul Matasii,,44.5082,26.081977,,,,
7022,1674,Aeroport Baneasa,,44.496006,26.078866,,,,
7021,1677,Aleea Privighetorilor,,44.518975,26.077593,,,,
7019,1678,Pasaj C.F.R. Otopeni,,44.529802,26.069912,,,,
7020,1679,Amco,,44.541028,26.068776,,,,
7016,1680,Primaria Otopeni,,44.55002,26.069081,,,,
7015,1681,Icsitmua,,44.559979,26.069492,,,,
7004,1683,DN 1 Aeroportul Henri Coanda,,44.569057,26.069955,,,,
7006,1684,Filan,,44.573643,26.070303,,,,
7007,1685,Primaria Clinceni,,44.377585,25.942528,,,,
7009,1686,Geriatrie Otopeni,,44.57994,26.070376,,,,
8613,1687,C.F.R. Balotesti,,44.584431,26.070428,,,,
7002,1689,Geriatrie Otopeni,,44.579688,26.070216,,,,
3115,169,Vasile Lascar,,44.452874,26.111282,,,,
6997,1690,Filan,,44.573989,26.069893,,,,
6995,1691,DN 1 Aeroportul Henri Coanda,,44.568558,26.069698,,,,
7000,1692,Icsitmua,,44.559666,26.069274,,,,
6999,1693,Primaria Otopeni,,44.550708,26.068851,,,,
6756,1694,Amco,,44.541163,26.068559,,,,
6754,1695,Pasaj C.F.R. Otopeni,,44.529353,26.069794,,,,
6757,1697,Aleea Privighetorilor,,44.517309,26.078729,,,,
3424,17,Raul Colentina,,44.466944,26.139104,,,,
3161,170,Dr. Grozovici,,44.4527,26.114718,,,,
3164,171,Lizeanu,,44.452114,26.119321,,,,
6451,1712,Ceaikovski,,44.463385,26.108041,,,,
3137,1714,Bd. Pache Protopopescu,,44.43926,26.120482,,,,
3171,172,Reinvierii,,44.455047,26.121203,,,,
6433,1720,G-ral Praporgescu,,44.451066,26.00486,,,,
6432,1723,Sat Dudu,,44.457795,25.986978,,,,
6430,1724,Cimitirul Chiajna,,44.462351,25.982249,,,,
6431,1725,Magazin Alimentar,,44.459612,25.972699,,,,
6428,1729,Magazin Alimentar,,44.459617,25.972892,,,,
3174,173,Ziduri Mosi,,44.454235,26.128153,,,,
6663,1730,Biserica Chiajna,,44.461239,25.977484,,,,
6665,1731,Cimitirul Chiajna,,44.462267,25.982342,,,,
6664,1732,Sat Dudu,,44.457654,25.986935,,,,
6669,1735,G-ral Praporgescu,,44.45095,26.006114,,,,
6668,1736,G-ral Eremia Grigorescu,,44.450283,26.008587,,,,
6667,1737,Alexandru Ioan Cuza,,44.448716,26.013426,,,,
6666,1738,Canal Arges,,44.445881,26.017077,,,,
6649,1740,Opera Nationala,,44.434943,26.078003,,,,
6650,1743,Republica,,44.434059,26.185264,,,,
6652,1744,Grup Industrial Titan,,44.43528,26.178096,,,,
6651,1745,Bd. 1 Decembrie 1918,,44.436532,26.172271,,,,
12175,1746,Soseaua Morarilor,,44.43709,26.16982,,,,
6654,1746,Soseaua Morarilor,,44.437171,26.169199,,,,
6653,1747,Soseaua Pantelimon,,44.441587,26.16638,,,,
6656,1748,Intrarea Fundeni,,44.44956,26.165813,,,,
6627,1750,Institutul Oncologic,,44.462982,26.155431,,,,
6625,1751,Spitalul Fundeni,,44.463907,26.152286,,,,
6622,1752,Cartier Colentina,,44.469783,26.144677,,,,
6620,1753,Oituz,,44.472781,26.148652,,,,
6617,1756,Cartier Colentina,,44.46844,26.143857,,,,
6640,1757,Itcani,,44.46479,26.150284,,,,
6638,1758,Spitalul Fundeni,,44.463321,26.15393,,,,
6636,1759,Institutul Oncologic,,44.462663,26.156179,,,,
3158,176,Maica Domnului,,44.455237,26.121623,,,,
6601,1761,Intrarea Fundeni,,44.44863,26.165981,,,,
6604,1762,Bd. 1 Decembrie 1918,,44.436029,26.173857,,,,
6603,1763,Grup Industrial Titan,,44.434942,26.179211,,,,
6600,1764,Faur,,44.434191,26.183805,,,,
3157,178,Dr. Grozovici,,44.452613,26.11594,,,,
7786,1784,Cocorilor,,44.48573,26.178691,,,,
7788,1785,Dispensar,,44.490379,26.187769,,,,
3156,179,Vasile Lascar,,44.452891,26.112019,,,,
7810,1792,Dispensar,,44.489933,26.186568,,,,
7812,1794,Cocorilor,,44.486016,26.178927,,,,
7813,1795,Niro,,44.48403,26.175033,,,,
6560,1797,Laromet,,44.495173,26.031464,,,,
6561,1798,Cimitirul Straulesti,,44.500824,26.027051,,,,
